,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aykhal,RU,66.0,111.5,30.74,97,100,15.12,snow
1,Avarua,CK,-21.2078,-159.775,82.45,74,75,10.36,broken clouds
2,Ust-Kuyga,RU,70.0167,135.6,14.94,84,96,6.78,overcast clouds
3,Morondava,MG,-20.2833,44.2833,77.59,92,2,5.95,clear sky
4,Tuktoyaktuk,CA,69.4541,-133.0374,0.55,91,51,5.82,broken clouds
5,Mataura,NZ,-46.1927,168.8643,53.47,46,99,3.49,overcast clouds
6,Yellowknife,CA,62.456,-114.3525,3.2,90,100,5.55,overcast clouds
7,Georgetown,MY,5.4112,100.3354,89.53,70,20,3.44,few clouds
8,Cuamba,MZ,-14.8031,36.5372,65.39,99,15,3.24,few clouds
9,Hilo,US,19.7297,-155.09,73.27,92,100,5.75,moderate rain
10,Port Macquarie,AU,-31.4333,152.9167,68.9,75,100,5.23,overcast clouds
11,Jardim,BR,-21.4803,-56.1381,63.66,66,41,5.37,scattered clouds
12,Guerrero Negro,MX,27.9769,-114.0611,59.83,85,63,19.01,broken clouds
13,Canberra,AU,-35.2835,149.1281,72.55,53,9,12.66,clear sky
14,Wexford,IE,52.3342,-6.4575,51.22,95,100,7.67,overcast clouds
15,Tongren,CN,27.7172,109.1853,49.68,92,100,1.07,overcast clouds
16,Mahebourg,MU,-20.4081,57.7,78.26,88,75,13.8,broken clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,75.38,92,71,4.99,broken clouds
18,Vaini,TO,-21.2,-175.2,84.36,79,75,5.75,broken clouds
19,Hirara,JP,24.8,125.2833,70.7,64,76,11.52,broken clouds
20,Lebu,CL,-37.6167,-73.65,52.65,92,50,9.19,scattered clouds
21,Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,6.04,light snow
22,Coahuayana,MX,18.7333,-103.6833,72.1,80,97,1.95,overcast clouds
23,Roebourne,AU,-20.7833,117.1333,95.02,26,9,8.5,clear sky
24,Havelock,US,34.8791,-76.9013,67.98,89,75,8.05,broken clouds
25,Kapaa,US,22.0752,-159.319,76.98,96,100,27.63,heavy intensity rain
26,Pundaguitan,PH,6.3711,126.1689,82.06,73,63,2.42,broken clouds
27,Kalmunai,LK,7.4167,81.8167,83.19,77,45,9.31,scattered clouds
28,Punta Arenas,CL,-53.15,-70.9167,46.51,81,40,12.66,light intensity shower rain
29,Kodiak,US,57.79,-152.4072,38.71,81,100,11.5,overcast clouds
30,Qaanaaq,GL,77.484,-69.3632,-20.85,74,7,7.78,clear sky
31,Rocha,UY,-34.4833,-54.3333,53.53,91,0,2.13,clear sky
32,Tulum,MX,20.2167,-87.4667,77.58,79,1,7.58,clear sky
33,Posse,BR,-14.0931,-46.3694,69.37,88,100,5.19,overcast clouds
34,Knokke-Heist,BE,51.3333,3.3333,47.44,62,23,9.26,few clouds
35,Saquena,PE,-4.6667,-73.5167,73.58,98,96,1.9,overcast clouds
36,Bethanien,NA,-26.502,17.1583,60.82,54,0,3.49,clear sky
37,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.71,99,91,0.92,overcast clouds
38,Atuona,PF,-9.8,-139.0333,78.8,80,69,16.17,light rain
39,Padang,ID,-0.9492,100.3543,86.05,66,26,3.53,scattered clouds
40,Praia,CV,14.9215,-23.5087,70.34,73,20,10.36,few clouds
41,Hermanus,ZA,-34.4187,19.2345,55.8,84,5,13.33,clear sky
42,Rikitea,PF,-23.1203,-134.9692,78.73,67,25,13.51,scattered clouds
43,Pedernales,DO,18.0384,-71.744,78.13,71,96,6.82,overcast clouds
44,Albany,US,42.6001,-73.9662,38.23,93,80,3.29,broken clouds
45,Kruisfontein,ZA,-34.0033,24.7314,59.88,92,0,2.3,clear sky
46,Katsuura,JP,35.1333,140.3,59.14,58,100,9.37,overcast clouds
47,Nikolskoye,RU,59.7035,30.7861,33.87,82,50,2.75,scattered clouds
48,Saskylakh,RU,71.9167,114.0833,20.32,93,100,19.1,overcast clouds
49,Suntar,RU,62.1444,117.6319,34.93,67,99,11.48,overcast clouds
50,Kahului,US,20.8947,-156.47,80.62,44,75,11.5,broken clouds
51,Arraial Do Cabo,BR,-22.9661,-42.0278,72.01,72,3,15.9,clear sky
52,Bluff,NZ,-46.6,168.3333,53.8,58,86,7.96,overcast clouds
53,Kichera,RU,55.9375,110.0997,34.43,98,100,4.79,snow
54,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,36,8.75,scattered clouds
55,Torbay,CA,47.6666,-52.7314,45.88,72,97,13.38,overcast clouds
56,Avera,US,33.194,-82.5271,63.91,93,100,2.86,overcast clouds
